Line #,Name,Description,Designator,Revision ID,Revision Status,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1

"","2.2uF","Cap Ceramic 2.2uF 16V X5R ±10% Pad SMD 0603 +85°C T/R","C1, C2, C3, C11, C12, C16","","","6","Samsung Electro-Mechanics","CL10A225KO8NNNC","Volume Production","","","",""
"","22uF","Cap Ceramic 22uF 16V X5R ±20% Pad SMD 0603 +85°C T/R","C4","","","1","Samsung Electro-Mechanics","CL10A226MO7JZNC","Volume Production","","","",""
"","2.2nF","Cap Ceramic 2.2nF 50V X7R ±10% Pad SMD 0603 +125°C T/R","C5","","","1","Samsung Electro-Mechanics","CL10B222KB8NNNC","Volume Production","","","",""
"","10nF","Capacitor SMD 0603","C6","","","1","","","","","","",""
"","Capacitor 100 nF +/-10% 50 V 0603","Chip Capacitor, 100 nF, +/- 10%, 50 V, 0603 (1608 Metric)","C7, C8, C9, C14, C15, C17, C18, C19, C20, C21, C22","","","11","KYOCERA AVX","06035C104KAT2A","Volume Production","","","",""
"","10uF","CAP CER 10UF 6.3V X5R 0603","C10","","","1","Yageo Group","CC0603KRX5R5BB106","Volume Production","","","",""
"","220nF","","C13","","","1","Vishay","VJ0603Y224KXXCW1BC","Volume Production","","","",""
"","EMZS350ARA471MHA0G","CAP ALUM 470UF 20% 35V SMD","C23","","","1","","","","","","",""
"","D_TVS_0402","Diode TVS / ESD 0402","D1","","","1","","","","","","",""
"","1N5819HW-7-F","DIODE SCHOTTKY 40V 1A SOD123","D2, D3","","","2","Diodes Inc.","1N5819HW-7-F","Volume Production","","","",""
"","GREEN","LED 0603 GREEN SMD","D4","","","1","","","","","","",""
"","120R","Ferrite Bead SMD 0603","FB1","","","1","","","","","","",""
"","STM32F103C8T6TR","Integrated Circuit","IC1","","","1","","","","","","",""
"","473460001","CONN RCPT USB2.0 MICRO B SMD R/A","J1","","","1","Molex","47346-0001","Volume Production","","","",""
"","B4P-SHF-1AA(LF)(SN)","CONN HEADER VERT 4POS 2.5MM","J2, J3, J4, J6","","","4","JST","B4P-SHF-1AA(LF)(SN)","Volume Production","","","",""
"","B2P-SHF-1AA(LF)(SN)","2.5mm 2 1 ???? Straight Solder 250VDC / 250VAC 3A 85? -25? Tin-Lead Over Copper 5.6mm 9.2mm","J5, J7, J8, J9, J10, J11","","","6","JST","B2P-SHF-1AA(LF)(SN)","Volume Production","","","",""
"","Header 8","Header, 8-Pin","P1, P2","","","2","","","","","","",""
"","IRF540NSTRLPBF","IRF540NSTRLPBF Transistor MOSFET N Channel 100 Volt 33 Amp 3-Pin 2+ Tab D2pak Tape And Reel","Q1, Q2","","","2","Infineon","IRF540NSTRLPBF","Volume Production","","","",""
"","Resistor 10k +/-1% 0603 100 mW","Chip Resistor, 10 KOhm, +/- 1%, 01 W, -55 to 155 degC, 0603 (1608 Metric)","R1, R3, R4, R5, R6","","","5","Yageo Group","RC0603FR-1310KL","Volume Production","","","",""
"","Resistor 120R +/-5 % 0603 0.1 W","Chip Resistor, 120 Ohms, +/-5 %, 0.1 W, -55 to 155 degC, 0603","R2","","","1","Yageo Group","RC0603JR-07120RL","Volume Production","","","",""
"","4.7K","RES Thin Film,  4.7kO, 1%, 0.1W, 50ppm/°C, 0603","R7, R8, R9, R10","","","4","Venkel","TFCR0603-10W-C-4701FT-1K","Volume Production","","","",""
"","Sense R","Fixed Resistor, Thin Film, 0.1W, 500ohm, 75V, 0.1% +/-Tol, 15ppm/Cel, Surface Mount, 0603","R11","","","1","Yageo Group","RT0603BRC07500RL","Volume Production","","","",""
"","LIS2MDLTR","SENSOR MR I2C/SPI 12LGA","U1","","","1","STMicroelectronics","LIS2MDLTR","Volume Production","","","",""
"","AMS1117-3.3","LDO Voltage Regulators 1A, 3.3V","U2","","","1","Advanced Monolithic Systems","AMS1117-3.3","","","","",""
"","MPU-6050","3-Axis Gyroscope, Accelerometer and a Digital Motion Processor(TM) (DMP), 2.375 to 3.46 V, -40 to 85 degC, 24-Pin QFN, RoHS, Tape and Reel","U3","","","1","InvenSense","MPU-6050","Not Recommended for New Design","","","",""
"","TJA1051T/3,118","High-Speed CAN Transceiver, 3 to 5 V, 8-Pin SOIC (SOT96-1), RoHS, Tape and Reel","U4","","","1","NXP Semiconductors","TJA1051T/3,118","Not Recommended for New Design","","","",""
"","ABM3B-8.000MHZ-B-4-Y-T","Crystal 8MHz ±30ppm 18pF SMD-4 5mm x 3.2mm","Y1","","","1","Abracon","ABM3B-8.000MHZ-B-4-Y-T","Volume Production","","","",""
