Altium Designer Pick and Place Locations,,,,,,,,,,,,,,,,
C:\Users\Public\Documents\Altium\PCBSTM32\Project Outputs for PCBSTM32\Pick Place for STM_AIO.csv,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
========================================================================================================================,,,,,,,,,,,,,,,,
File Design Information:,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Date:       15/01/26,,,,,,,,,,,,,,,,
Time:       18:54,,,,,,,,,,,,,,,,
Revision:   de9445f5d2cf0852e8239ccfc21a0fd7d5e0bf8f,,,,,,,,,,,,,,,,
Variant:    No variations,,,,,,,,,,,,,,,,
Units used: mm,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Designator,Comment,Layer,Footprint,Footprint Description,Center-X(mm),Center-Y(mm),Rotation,Description,Height(mm),Ref-X(mm),Ref-Y(mm),Pad-X(mm),Pad-Y(mm),Variation,Arrow Part Number,Capacitance
C23,EMZS350ARA471MHA0G,TopLayer,FP-MZS-HA0-A-MFG,,12.5476mm,31.6560mm,270,CAP ALUM 470UF 20% 35V SMD,0.0000mm,12.5476mm,31.6560mm,12.5476mm,28.0060mm,Fitted,,470uF
J11,B2P-SHF-1AA(LF)(SN),TopLayer,FP-B2P-SHF-1AA_LF_SN-MFG,,86.1568mm,22.4482mm,270,2.5mm 2 1 ???? Straight Solder 250VDC / 250VAC 3A 85? -25? Tin-Lead Over Copper 5.6mm 9.2mm,0.0000mm,86.8568mm,22.4482mm,86.1568mm,23.6982mm,Fitted,,
C22,Capacitor 100 nF +/-10% 50 V 0603,TopLayer,CAPC1608X90X40NL10T20,"Chip Capacitor, 2-Leads, Body 1.70x0.90mm, IPC Medium Density",53.6956mm,34.4932mm,180,"Chip Capacitor, 100 nF, +/- 10%, 50 V, 0603 (1608 Metric)",0.9000mm,53.6956mm,34.4932mm,54.3206mm,34.4932mm,Fitted,,
J10,B2P-SHF-1AA(LF)(SN),TopLayer,FP-B2P-SHF-1AA_LF_SN-MFG,,2.6670mm,21.7370mm,270,2.5mm 2 1 ???? Straight Solder 250VDC / 250VAC 3A 85? -25? Tin-Lead Over Copper 5.6mm 9.2mm,0.0000mm,3.3670mm,21.7370mm,2.6670mm,22.9870mm,Fitted,,
R11,Sense R,TopLayer,RESC16080X45_RT0603-0_55_MFG,,82.4152mm,29.1084mm,180,"Fixed Resistor, Thin Film, 0.1W, 500ohm, 75V, 0.1% +/-Tol, 15ppm/Cel, Surface Mount, 0603",0.5500mm,82.4152mm,29.1084mm,83.2652mm,29.1084mm,Fitted,,
J9,B2P-SHF-1AA(LF)(SN),TopLayer,FP-B2P-SHF-1AA_LF_SN-MFG,,28.4480mm,57.0880mm,180,2.5mm 2 1 ???? Straight Solder 250VDC / 250VAC 3A 85? -25? Tin-Lead Over Copper 5.6mm 9.2mm,0.0000mm,28.4480mm,56.3880mm,29.6980mm,57.0880mm,Fitted,,
C13,220nF,TopLayer,CAPC1608X95X40LL15T15,"Chip Capacitor, 2-Leads, Body 1.60x0.80mm, IPC High Density",42.4942mm,17.0068mm,0,,0.9500mm,42.4942mm,17.0068mm,41.8942mm,17.0068mm,Fitted,,
C10,10uF,TopLayer,FP-CC0603-0_15-0_95-IPC_B,,38.6846mm,12.5916mm,0,CAP CER 10UF 6.3V X5R 0603,0.0000mm,38.6846mm,12.5916mm,38.0086mm,12.5916mm,Fitted,,10uF
U1,LIS2MDLTR,TopLayer,FP-LGA-12-DM00170568-MFG,,42.1680mm,14.4775mm,180,SENSOR MR I2C/SPI 12LGA,0.0000mm,42.1680mm,14.4775mm,42.9305mm,13.7275mm,Fitted,,
J2,B4P-SHF-1AA(LF)(SN),TopLayer,FP-B4P-SHF-1AA_LF_SN-MFG,,42.6720mm,3.3640mm,0,CONN HEADER VERT 4POS 2.5MM,0.0000mm,42.6720mm,4.0640mm,38.9220mm,3.3640mm,Fitted,,
Y1,ABM3B-8.000MHZ-B-4-Y-T,TopLayer,FP-ABM3B-MFG,,28.4480mm,30.4800mm,0,Crystal 8MHz ±30ppm 18pF SMD-4 5mm x 3.2mm,0.0000mm,28.4480mm,30.4800mm,26.4480mm,29.2800mm,Fitted,,
U4,"TJA1051T/3,118",TopLayer,NXP-SOIC-8_L,"SOIC, 8-Leads, Body 5x4mm, Pitch 1.27mm, IPC High Density",28.4480mm,46.3550mm,360,"High-Speed CAN Transceiver, 3 to 5 V, 8-Pin SOIC (SOT96-1), RoHS, Tape and Reel",1.7500mm,28.4480mm,46.3550mm,26.5430mm,43.7300mm,Fitted,,
U3,MPU-6050,TopLayer,IS-QFN-24_V,"QFN, 24-Leads, Body 4x4mm, Pitch 0.5mm, Thermal Pad 2.7x2.6mm",44.9780mm,49.5870mm,180,"3-Axis Gyroscope, Accelerometer and a Digital Motion Processor(TM) (DMP), 2.375 to 3.46 V, -40 to 85 degC, 24-Pin QFN, RoHS, Tape and Reel",0.9500mm,44.9780mm,49.5870mm,46.9780mm,48.3370mm,Fitted,,
U2,AMS1117-3.3,TopLayer,FP-AMS1117-IPC_C,,74.3752mm,18.3458mm,270,"LDO Voltage Regulators 1A, 3.3V",0.0000mm,74.3752mm,18.3458mm,76.6652mm,21.6408mm,Fitted,,
R10,4.7K,TopLayer,FP-TFCR0603-MFG,,44.9580mm,11.0733mm,270,"RES Thin Film,  4.7kO, 1%, 0.1W, 50ppm/°C, 0603",0.0000mm,44.9580mm,11.0733mm,44.9580mm,11.8733mm,Fitted,,
R9,4.7K,TopLayer,FP-TFCR0603-MFG,,48.6410mm,18.7706mm,90,"RES Thin Film,  4.7kO, 1%, 0.1W, 50ppm/°C, 0603",0.0000mm,48.6410mm,18.7706mm,48.6410mm,17.9706mm,Fitted,,
R8,4.7K,TopLayer,FP-TFCR0603-MFG,,49.4323mm,45.5930mm,90,"RES Thin Film,  4.7kO, 1%, 0.1W, 50ppm/°C, 0603",0.0000mm,49.4323mm,45.5930mm,49.4323mm,44.7930mm,Fitted,,
